[2025-07-23 23:40:21] [INFO    ] discord.client: logging in using static token
[2025-07-23 23:40:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-23 23:40:22] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-23 23:40:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1397790397811527710', 'username': 'Acy The ACM', 'avatar': 'e1e621149701f7f1ec496ddc186280a5', 'discriminator': '9472', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-23 23:40:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-23 23:40:22] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-23 23:40:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1397790397811527710', 'name': 'AcyTheACM', 'icon': 'e1e621149701f7f1ec496ddc186280a5', 'description': "Hi! I am Acy the ACM. NIU ACM's handyman. please do not @ me. I will cry.", 'type': None, 'bot': {'id': '1397790397811527710', 'username': 'Acy The ACM', 'avatar': 'e1e621149701f7f1ec496ddc186280a5', 'discriminator': '9472', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '415f38c561269f08487b5c2d41277f98900f4d5f55fe06015f8093c663b15a4b', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '521296381386686504', 'username': 'radishbeet', 'avatar': '1756da6fc3005c71859005c00c2ccc97', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_31165483e926386cad2228a0690e353d', 'accent_color': 16284397, 'global_name': 'Radish', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#f87aed', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-23 23:40:22] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-23 23:40:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-nmp3",{"micros":0.0}]']}}
[2025-07-23 23:40:22] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-23 23:40:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-23 23:40:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Acy The ACM', 'primary_guild': None, 'mfa_enabled': True, 'id': '1397790397811527710', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9472', 'clan': None, 'bot': True, 'avatar': 'e1e621149701f7f1ec496ddc186280a5'}, 'session_type': 'normal', 'session_id': '399b2c6706a97d622a37a34720bc5404', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1240088308944601239'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'atlanta', 'us-east', 'newark', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1397790397811527710', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-nmp3",{"micros":124685,"calls":["id_created",{"micros":728,"calls":[]},"session_lookup_time",{"micros":341,"calls":[]},"session_lookup_finished",{"micros":21,"calls":[]},"discord-sessions-prd-2-133",{"micros":123326,"calls":["start_session",{"micros":110708,"calls":["discord-api-rpc-59559d6965-rgd2s",{"micros":83568,"calls":["get_user",{"micros":10123},"get_guilds",{"micros":10340},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":267},"authorized_ip_coro",{"micros":20},"pending_payments",{"micros":8005},"apex_experiments",{"micros":1350},"user_activities",{"micros":5},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":2541,"calls":[]},"guilds_started",{"micros":85,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9946,"calls":[]},"connect_finished",{"micros":9951,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-23 23:40:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-23 23:40:22] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 399b2c6706a97d622a37a34720bc5404).
[2025-07-23 23:40:22] [DEBUG   ] discord.client: Dispatching event connect
